score,time,action
34-32,,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 1 de 2  convertido"
34-32,P3 05:48:00,"14, EMILIA LARRE BORGES, Asistencia"
34-32,P3 05:48:00,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 2 de 2"
34-32,P3 05:48:00,"21, NATASHA DOLINSKY, Rebote defensivo"
37-32,,"21, NATASHA DOLINSKY, 3pt  convertido"
37-32,P3 05:15:00,"10, DAIANA CARTRO, Asistencia"
37-34,,"10, RAPHAELLA MARCIANO DA SILVA, 2pt bandeja  convertido"
37-34,P3 04:55:00,"15, FLORENCIA SOMMA, Asistencia"
37-34,P3 04:34:00,"3, SOFIA BERGDAHL, 3pt"
37-34,P3 04:34:00,Rebote defensivo
37-36,,"15, FLORENCIA SOMMA, 2pt bandeja  convertido"
37-36,P3 04:27:00,"10, RAPHAELLA MARCIANO DA SILVA, Asistencia"
37-36,P3 03:56:00,Pérdida reloj de tiro
37-36,P3 03:56:00,"3, SOFIA BERGDAHL, Sustitución (sale)"
37-36,P3 03:56:00,"14, MARTINA MARIÑO, Sustitución (ingresa)"
37-36,P3 03:49:00,"14, EMILIA LARRE BORGES, 3pt"
37-36,P3 03:47:00,"4, FERNANDA MIDAGLIA DE LEON, Rebote ofensivo"
37-36,P3 03:47:00,"4, FERNANDA MIDAGLIA DE LEON, 2pt jumpshot"
37-36,P3 03:45:00,"10, RAPHAELLA MARCIANO DA SILVA, Rebote ofensivo"
37-36,P3 03:44:00,"10, RAPHAELLA MARCIANO DA SILVA, 2pt jumpshot"
37-36,P3 03:42:00,"21, NATASHA DOLINSKY, Rebote defensivo"
37-36,P3 03:24:00,"14, MARTINA MARIÑO, Pérdida manejo de balón"
37-36,P3 03:24:00,"5, FIORELLA MARTINELLI, Recupero"
37-36,P3 03:18:00,"6, ANA CLARA PAZ, Falta personal"
37-36,P3 03:18:00,"5, FIORELLA MARTINELLI, Falta recibida"
37-36,P3 03:18:00,"5, FIORELLA MARTINELLI, Lanzamiento libre 1 de 3"
37-36,P3 03:18:00,"5, FIORELLA MARTINELLI, Lanzamiento libre 2 de 3"
37-37,,"5, FIORELLA MARTINELLI, Lanzamiento libre 3 de 3  convertido"
40-37,,"6, ANA CLARA PAZ, 3pt  convertido"
40-37,P3 03:11:00,"21, NATASHA DOLINSKY, Asistencia"
40-37,P3 02:44:00,"5, FIORELLA MARTINELLI, 3pt"
40-37,P3 02:42:00,Rebote defensivo
40-37,P3 02:42:00,"5, FIORELLA MARTINELLI, Sustitución (sale)"
40-37,P3 02:42:00,"8, CAROLINA FERNANDEZ, Sustitución (ingresa)"
40-37,P3 02:42:00,"4, FERNANDA MIDAGLIA DE LEON, Sustitución (sale)"
40-37,P3 02:42:00,"11, SABINA BELLO, Sustitución (ingresa)"
40-37,P3 02:29:00,"9, JOAQUINA GREGORIO, 2pt jumpshot"
40-37,P3 02:27:00,Salto bola retenida
40-37,P3 02:27:00,"15, FLORENCIA SOMMA, Rebote defensivo"
40-37,P3 02:06:00,"15, FLORENCIA SOMMA, 3pt"
40-37,P3 02:04:00,"14, EMILIA LARRE BORGES, Rebote ofensivo"
40-39,,"10, RAPHAELLA MARCIANO DA SILVA, 2pt bandeja  convertido"
40-39,P3 02:04:00,"14, EMILIA LARRE BORGES, Asistencia"
42-39,,"10, DAIANA CARTRO, 2pt bandeja  convertido"
42-39,P3 01:49:00,"9, JOAQUINA GREGORIO, Asistencia"
42-39,P3 01:23:00,"14, EMILIA LARRE BORGES, 3pt"
42-39,P3 01:21:00,"21, NATASHA DOLINSKY, Rebote defensivo"
45-39,,"6, ANA CLARA PAZ, 3pt  convertido"
45-39,P3 01:12:00,"9, JOAQUINA GREGORIO, Asistencia"
45-39,P3 01:10:00,Tiempo muerto completo
45-39,P3 00:58:00,"15, FLORENCIA SOMMA, Pérdida mal pase"
45-39,P3 00:58:00,"10, DAIANA CARTRO, Recupero"
47-39,,"6, ANA CLARA PAZ, 2pt bandeja con manejo  convertido"
47-42,,"8, CAROLINA FERNANDEZ, 3pt  convertido"
47-42,P3 00:05:70,"15, FLORENCIA SOMMA, Falta personal"
47-42,P3 00:05:70,"21, NATASHA DOLINSKY, Falta recibida"
47-42,P3 00:05:70,"15, FLORENCIA SOMMA, Sustitución (sale)"
47-42,P3 00:05:70,"32, PAULA FERNANDEZ, Sustitución (ingresa)"
47-42,P3 00:03:50,"11, SABINA BELLO, Sustitución (sale)"
47-42,P3 00:03:50,"7, FLORENCIA FERNANDEZ, Sustitución (ingresa)"
47-42,P3 00:03:50,Tiempo muerto completo
47-42,P3 00:03:50,"10, RAPHAELLA MARCIANO DA SILVA, Sustitución (sale)"
47-42,P3 00:03:50,"22, AILEN SOSA, Sustitución (ingresa)"
47-42,P3 00:02:60,"6, ANA CLARA PAZ, 2pt bandeja"
47-42,,Fin del período
47-42,P4 10:00:00,"22, AILEN SOSA, Sustitución (sale)"
47-42,P4 10:00:00,"32, PAULA FERNANDEZ, Sustitución (sale)"
47-42,P4 10:00:00,"11, SABINA BELLO, Sustitución (ingresa)"
